Parameter,Category Description,Parameter Description,Basic Criterion,Medium Criterion,High Criterion,Optimised Parameter Name,Domain / Category,Category Overview,,
Power tailgate (PC),,Motorised boot/tailgate operation. ,,Powered tailgate (button-operated open/close).,Hands-free powered tailgate (kick-sensor or proximity detection activation).,Power Tailgate (Motorised Boot / Liftgate),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Start / Stop without Push,,"The vehicle can be started and operated without a traditional push-button ignition — simply entering the vehicle and engaging drive gear initiates operation, streamlining the boarding experience.",,,Buttonless operation: vehicle activates automatically on entry; gear engagement initiates motion.,Buttonless Start (No Push-Button Ignition),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
High power USB Plug,,USB-C charging socket with elevated power delivery for fast device charging. ,,High-power USB-C at 45 W.,Ultra-high-power USB-C at 60 W or above.,High-Power USB-C Charging Port,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Steer by wire with specific steering wheel shape,,"Steer-by-wire (SbW) is a technology that replaces the conventional mechanical linkage between the steering wheel and the front wheels with an entirely electronic signal pathway, transmitting steering inputs via sensors, actuators, and control units. ",,,"Full steer-by-wire system with no mechanical connection between the steering wheel and the front axle, enabling a custom-shaped or non-circular steering wheel design and fully variable electronic steering ratio.",Steer-by-Wire with Custom Steering Wheel Design,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Trailer Tire Pressure Monitor,,"System monitoring the tyre pressures of a hitched trailer and displaying individual readings inside the truck cab, alerting the driver to low-pressure conditions before they become safety issues.",,,Real-time per-wheel trailer tyre pressure and temperature with historical trend logging.,Trailer Tyre Pressure Monitoring System,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Auto Trailer Light Bulb Check,,"Automated system that checks the functionality of all trailer lights at vehicle start-up or connection, alerting the driver to any burned-out bulbs before departure.",,,Continuous trailer light monitoring with individual bulb identification and mobile app notification.,Automatic Trailer Light Bulb Check,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Trailer Theft Alert,,"Anti-theft system that detects if the trailer is disconnected from the hitch while the truck is unattended, triggering the vehicle alarm and/or sending a push notification to the owner's mobile app.",,,Alarm plus push notification to mobile app with GPS location at time of disconnect.,Trailer Theft Alert and Disconnect Notification,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Payload Indicator w/ Exterior Readout / Onboard Scales,,"Onboard weighing system using suspension sensors to calculate and display the current payload in the truck bed in real time — showing weight, percentage of safe load capacity, and triggering overload warnings both inside the cabin and (at higher levels) on an exterior display at the tailgate.",,,Real-time payload scale on interior display and tailgate exterior panel with overload alert.,Payload Indicator and Onboard Bed Scales,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Trailer Tongue Weight Notification,,System measuring the static tongue weight (downward force of trailer on hitch ball) to help the driver optimise weight distribution during loading and confirm safe loading before departure. ,,,Measured tongue weight for conventional and 5th-wheel/gooseneck hitches with weight-distribution guidance and app support.,Trailer Tongue Weight Measurement and Guidance,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Tailgate as a Workbench,,"Tailgate designed and equipped to function as a job-site work surface, with features such as a flat stable work area, integrated rulers, clamp pockets, tool holders, tie-down hooks, cup holders, and USB power outlets.",,,"Full workbench: flat stable surface, clamp pockets, tool holders, cup holders, and USB power outlets.",Tailgate Workbench with Integrated Tools,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Tailgate Down Camera,,Camera and sensor system that maintains full functionality of the rear-view and 360-degree surround cameras when the tailgate is lowered — adjusting camera angles automatically and keeping backup sensors active.,,,"Full continuity: adaptive camera, functioning 360° view, and backup sensors integrated into tailgate.",Tailgate-Down Rear Camera System,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Wireless Camera,,"Auxiliary cameras with their own battery power source that connect wirelessly to the truck's infotainment head unit, allowing flexible mounting anywhere on the truck or trailer without cable routing.",,,One or Multiple wireless cameras mountable anywhere on truck or trailer with automatic head-unit integration.,Wireless Auxiliary Camera System,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Wired Camera,,"Auxiliary cameras hardwired to the truck's electrical system for a permanent, reliable connection — mountable at various positions on the truck or trailer for expanded visibility coverage.",,,Full auxiliary wired camera system with multiple inputs and configurable display zones.,Wired Auxiliary Camera System,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Bed Extender,,A retractable panel (typically stored beneath the bed floor) that slides or folds out beyond the tailgate to increase the effective cargo bed length for oversized loads.,,,"Powered or assisted slide-out bed extender with automatic deployment.
Slide-out bed extender stored beneath the bed floor.",Cargo Bed Extender,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Multi Function Tailgate,,Tailgate can be divided into swing-out doors that hinge 60/40 split. A kick out step allows quick access to the truck's bed and there is no interference with the trailer hitch.,Non-Powered,,Power Open/Close,Multi-Function Tailgate (Split Swing-Out Design),,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Midgate,,"A removable or fold-down panel forming the rear wall of the cab, separating the cabin from the truck bed. When opened, it extends the usable cargo length through the cab interior for carrying exceptionally long items.",,,"
Removable midgate panel to extend bed into cab area.",Midgate (Cab-to-Bed Pass-Through Panel),,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Trailer Health Monitor,,"Comprehensive telematics system monitoring the overall health status of a connected trailer from inside the truck: tyre pressures, temperatures, battery voltage, lighting status, vibration, and optionally interior cargo temperature.",,,"Comprehensive: tyre pressure, temperature, vibration, lights, battery voltage, and optional interior temp monitoring.",Trailer Health Monitoring System,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Cargo Bed Camera,,Camera mounted in the truck bed area providing a view of the cargo and bed contents — useful for monitoring load security while driving and for general bed use.,,,"
Camera mounted in the truck bed area providing a view of the cargo and bed contents",Cargo Bed Camera,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Trailering App,,"Integrated infotainment application serving as a unified command centre for all towing operations: trailer profiles and setup, real-time trailer health data, maintenance schedules, camera feeds, and towing guidance.",Basic trailer checklist or setup guide in infotainment.,Trailer management app with profile storage and key telemetry data.,"Full hub: profiles, health monitor, maintenance schedule, camera feeds, and hitch guidance in one integrated interface.",Integrated Trailering Application,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Onboard Power,,"Onboard electrical power generation providing AC outlets and/or high-power DC sockets for operating tools, appliances, or charging equipment directly from the truck — without a separate generator.",,,"
One or Multiple AC sockets",Onboard Power Export (Generator / AC Outlets),,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
Mobile Office/Interior Workspace,,"Interior cab transformation capability converting the centre console area into a functional work surface — with a fold-out flat desk, USB power, device mounts, and storage — enabling productive remote work from inside the truck.",,,"
With multiple possible functions, for example: foldable table, document storage, monitor mount, power outlets, and built-in Wi-Fi hotspot.",Mobile Office and Interior Workspace,,Trail & Truck-Specific Features,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",
